,State,Civil_Twilight,Accident_count,month
258,OK,Day,1306,4
259,OK,Day,1812,5
260,OK,Day,1914,6
261,OK,Night,235,3
262,OK,Night,109,4
263,OK,Night,90,5
264,OK,Night,76,6
265,OR,Day,2137,3
266,OR,Day,2082,4
267,OR,Day,2825,5
268,OR,Day,3051,6
269,OR,Night,692,3
270,OR,Night,381,4
271,OR,Night,385,5
272,OR,Night,360,6
273,PA,Day,2115,3
274,PA,Day,3357,4
275,PA,Day,3141,5
276,PA,Day,3023,6
277,PA,Night,432,3
278,PA,Night,362,4
279,PA,Night,302,5
280,PA,Night,280,6
281,RI,Day,169,3
282,RI,Day,256,4
283,RI,Day,196,5
284,RI,Day,229,6
285,RI,Night,16,3
286,RI,Night,9,4
287,RI,Night,8,5
288,RI,Night,7,6
289,SC,Day,3276,3
290,SC,Day,3972,4
291,SC,Day,3517,5
292,SC,Day,4167,6
293,SC,Night,878,3
294,SC,Night,474,4
295,SC,Night,288,5
296,SC,Night,465,6
297,SD,Day,1,3
298,TN,Day,1366,3
299,TN,Day,1491,4
300,TN,Day,2171,5
301,TN,Day,2555,6
302,TN,Night,292,3
303,TN,Night,149,4
304,TN,Night,179,5
305,TN,Night,199,6
306,TX,Day,3866,3
307,TX,Day,3908,4
308,TX,Day,4384,5
309,TX,Day,4620,6
310,TX,Night,1136,3
311,TX,Night,634,4
312,TX,Night,474,5
313,TX,Night,499,6
314,UT,Day,1282,3
315,UT,Day,942,4
316,UT,Day,1286,5
317,UT,Day,1673,6
318,UT,Night,418,3
319,UT,Night,257,4
320,UT,Night,206,5
321,UT,Night,232,6
322,VA,Day,2027,3
323,VA,Day,3705,4
324,VA,Day,2751,5
325,VA,Day,2864,6
326,VA,Night,417,3
327,VA,Night,375,4
328,VA,Night,215,5
329,VA,Night,227,6
330,VT,Day,16,3
331,VT,Day,7,4
332,VT,Day,10,5
333,VT,Day,24,6
334,VT,Night,7,3
335,VT,Night,3,4
336,VT,Night,2,5
337,VT,Night,1,6
338,WA,Day,701,3
339,WA,Day,689,4
340,WA,Day,1048,5
341,WA,Day,1445,6
342,WA,Night,274,3
343,WA,Night,209,4
344,WA,Night,215,5
345,WA,Night,276,6
346,WI,Day,217,3
347,WI,Day,327,4
348,WI,Day,412,5
349,WI,Day,526,6
350,WI,Night,69,3
351,WI,Night,47,4
352,WI,Night,29,5
353,WI,Night,42,6
354,WV,Day,5,3
355,WV,Day,23,4
356,WV,Day,7,5
357,WV,Day,7,6
358,WV,Night,4,3
359,WV,Night,6,4
360,WV,Night,2,5
361,WV,Night,1,6
362,WY,Day,2,3
363,WY,Day,1,4
364,WY,Day,2,5
365,WY,Day,2,6
366,WY,Night,2,3
367,WY,Night,3,4
